Physics,Maths,Chemistry,Biology,Mean,Locality,Budget,Entrance,prev_stream,College_Section
69,80,68,71,91.4,Mumbai,140000.0,169,Diploma,1
59,58,58,59,57.2,Nashik,40000.0,52,Diploma,1
67,64,66,61,63.2,Nashik,60000.0,58,Diploma,1
45,37,44,37,60.4,Pune,160000.0,139,Arts,1
60,72,59,74,87.4,Nashik,150000.0,172,Diploma,1
61,58,60,56,67.0,Pune,60000.0,100,Diploma,1
39,64,38,57,56.0,Pune,190000.0,82,Diploma,1
58,63,57,73,87.2,Pune,100000.0,185,Diploma,1
63,55,62,63,75.4,Mumbai,40000.0,134,Arts,1
41,51,40,48,74.8,Mumbai,120000.0,194,Diploma,1
61,57,60,56,71.8,Pune,50000.0,125,Diploma,1
49,49,48,41,50.0,Mumbai,10000.0,63,Arts,1
44,41,43,38,46.4,Pune,200000.0,66,Diploma,1
30,26,29,22,53.0,Mumbai,120000.0,158,Diploma,1
80,78,79,81,102.6,Nashik,60000.0,195,Diploma,1
61,74,60,72,82.8,Nashik,160000.0,147,Arts,1
62,68,61,68,75.8,Nashik,50000.0,120,Diploma,1
47,49,46,50,76.0,Pune,130000.0,188,Science,1
49,45,48,45,59.4,Mumbai,170000.0,110,Diploma,1
50,47,49,54,74.6,Nashik,80000.0,173,Arts,1
72,64,71,63,64.8,Nashik,180000.0,54,Arts,1
42,39,41,34,62.6,Mumbai,100000.0,157,Diploma,1
73,80,72,82,86.2,Mumbai,160000.0,124,Diploma,1
76,83,75,88,93.6,Pune,100000.0,146,Diploma,1
71,71,70,74,96.8,Mumbai,120000.0,198,Diploma,1
58,70,57,67,63.8,Pune,200000.0,67,Arts,1
73,86,72,82,75.6,Mumbai,200000.0,65,Diploma,1
65,72,64,74,82.6,Nashik,50000.0,138,Commerce,1
27,34,26,36,64.6,Mumbai,60000.0,200,Arts,1
71,79,70,71,91.0,Nashik,90000.0,164,Diploma,1
43,45,42,50,59.4,Pune,50000.0,117,Arts,1
79,86,78,92,88.0,Nashik,40000.0,105,Diploma,1
78,81,77,82,79.6,Nashik,70000.0,80,Arts,1
65,66,64,62,74.2,Nashik,10000.0,114,Commerce,1
63,72,62,70,69.2,Mumbai,120000.0,79,Arts,1
58,67,57,62,82.8,Mumbai,180000.0,170,Diploma,1
65,67,64,62,62.8,Mumbai,100000.0,56,Arts,1
79,67,78,67,82.6,Pune,100000.0,122,Diploma,1
68,74,67,74,89.6,Pune,50000.0,165,Arts,1
85,91,84,89,81.4,Nashik,40000.0,58,Diploma,1
60,44,59,47,60.6,Mumbai,80000.0,93,Arts,1
98,86,97,90,100.6,Mumbai,110000.0,132,Arts,1
58,67,57,72,87.2,Mumbai,180000.0,182,Diploma,1
87,100,86,100,90.2,Mumbai,160000.0,78,Diploma,1
66,63,65,64,85.6,Nashik,190000.0,170,Arts,1
52,76,51,70,81.8,Mumbai,160000.0,160,Diploma,1
70,64,69,72,91.4,Pune,50000.0,182,Diploma,1
77,89,76,98,95.4,Pune,70000.0,137,Diploma,1
62,55,61,49,70.0,Nashik,80000.0,123,Arts,1
54,53,53,47,73.6,Nashik,110000.0,161,Arts,1
51,58,50,54,70.0,Mumbai,40000.0,137,Diploma,1
99,100,98,100,100.4,Nashik,40000.0,105,Diploma,1
84,77,83,74,84.4,Pune,80000.0,104,Diploma,1
75,85,74,82,79.2,Nashik,180000.0,80,Diploma,1
78,82,77,79,84.6,Mumbai,60000.0,107,Diploma,1
51,63,50,61,66.4,Nashik,140000.0,107,Arts,1
55,69,54,65,60.6,Mumbai,130000.0,60,Commerce,1
79,92,78,89,78.6,Mumbai,160000.0,55,Diploma,1
91,89,90,92,109.4,Mumbai,160000.0,185,Science,1
88,93,87,93,110.2,Mumbai,140000.0,190,Diploma,1
63,57,62,56,83.4,Mumbai,120000.0,179,Diploma,1
83,80,82,73,97.0,Nashik,200000.0,167,Diploma,1
87,95,86,86,98.4,Nashik,50000.0,138,Commerce,1
72,68,71,67,73.0,Pune,110000.0,87,Commerce,1
65,77,64,74,78.6,Mumbai,160000.0,113,Science,1
82,82,81,74,90.8,Mumbai,90000.0,135,Arts,1
51,49,50,51,75.0,Pune,160000.0,174,Commerce,1
89,84,88,82,96.0,Mumbai,10000.0,137,Arts,1
53,37,52,40,75.0,Pune,60000.0,193,Diploma,1
87,74,86,70,102.6,Mumbai,50000.0,196,Diploma,1
75,81,74,84,83.0,Pune,140000.0,101,Diploma,1
74,79,73,75,92.0,Mumbai,150000.0,159,Diploma,1
58,55,57,48,60.2,Mumbai,190000.0,83,Diploma,1
51,54,50,41,72.0,Nashik,30000.0,164,Arts,1
70,55,69,56,87.2,Nashik,150000.0,186,Diploma,1
59,66,58,67,78.8,Nashik,100000.0,144,Diploma,1
71,61,70,69,93.2,Pune,170000.0,195,Diploma,1
76,72,75,71,84.4,Pune,100000.0,128,Arts,1
59,62,58,64,66.0,Mumbai,160000.0,87,Arts,1
42,55,41,54,57.4,Nashik,110000.0,95,Diploma,1
57,43,56,47,68.8,Pune,130000.0,141,Arts,1
88,73,87,78,94.2,Pune,150000.0,145,Arts,1
22,39,21,33,42.2,Mumbai,50000.0,96,Commerce,1
88,84,87,75,80.8,Pune,110000.0,70,Arts,1
73,68,72,66,73.6,Nashik,30000.0,89,Commerce,1
68,75,67,81,91.4,Nashik,190000.0,166,Diploma,1
100,100,99,93,115.8,Mumbai,50000.0,187,Arts,1
62,67,61,69,90.6,Pune,140000.0,194,Arts,1
77,67,76,68,88.4,Mumbai,60000.0,154,Diploma,1
59,70,58,66,60.8,Nashik,120000.0,51,Diploma,1
54,49,53,47,53.6,Nashik,190000.0,65,Arts,1
62,67,61,61,82.8,Mumbai,50000.0,163,Diploma,1
70,89,69,88,77.0,Nashik,80000.0,69,Diploma,1
66,74,65,78,81.4,Nashik,30000.0,124,Commerce,1
60,60,59,60,85.6,Mumbai,170000.0,189,Arts,1
61,86,60,87,78.2,Nashik,50000.0,97,Diploma,1
66,62,65,64,65.2,Nashik,80000.0,69,Arts,1
82,78,81,74,99.8,Pune,180000.0,184,Diploma,1
75,88,74,85,98.2,Nashik,120000.0,169,Diploma,1
49,53,48,52,79.2,Nashik,90000.0,194,Arts,1
52,53,51,49,53.2,Mumbai,140000.0,61,Diploma,1
81,92,80,91,94.6,Nashik,20000.0,129,Arts,1
96,100,95,100,99.0,Nashik,150000.0,104,Diploma,1
53,51,52,51,55.8,Mumbai,70000.0,72,Diploma,1
58,76,57,78,88.6,Pune,160000.0,174,Diploma,1
68,83,67,78,91.6,Mumbai,150000.0,162,Diploma,1
67,75,66,70,72.0,Nashik,60000.0,82,Diploma,1
72,73,71,74,87.6,Pune,100000.0,148,Arts,1
94,88,93,78,83.2,Pune,160000.0,63,Diploma,1
79,86,78,81,102.2,Pune,80000.0,187,Diploma,1
63,67,62,70,75.2,Mumbai,40000.0,114,Diploma,1
43,51,42,54,77.2,Pune,90000.0,196,Diploma,1
81,91,80,87,104.0,Mumbai,120000.0,181,Diploma,1
46,54,45,58,67.8,Pune,110000.0,136,Diploma,1
71,77,70,77,88.6,Pune,110000.0,148,Diploma,1
52,70,51,62,62.6,Nashik,180000.0,78,Arts,1
97,100,96,100,100.2,Pune,130000.0,108,Arts,1
62,68,61,75,81.6,Mumbai,180000.0,142,Diploma,1
46,64,45,66,55.6,Mumbai,190000.0,57,Diploma,1
50,50,49,47,75.8,Mumbai,160000.0,183,Commerce,1
65,69,64,70,86.0,Mumbai,190000.0,162,Arts,1
45,52,44,49,60.4,Mumbai,40000.0,112,Commerce,1
65,67,64,65,81.2,Mumbai,40000.0,145,Diploma,1
80,76,79,65,92.8,Pune,20000.0,164,Diploma,1
62,66,61,68,78.8,Pune,90000.0,137,Diploma,1
48,52,47,45,51.0,Pune,70000.0,63,Arts,1
77,88,76,87,81.6,Pune,100000.0,80,Diploma,1
66,65,65,69,77.8,Nashik,180000.0,124,Diploma,1
76,83,75,79,88.8,Nashik,140000.0,131,Arts,1
62,64,61,66,81.0,Nashik,110000.0,152,Diploma,1
77,62,76,62,78.2,Nashik,100000.0,114,Arts,1
69,84,68,85,96.8,Nashik,70000.0,178,Commerce,1
61,55,60,52,59.2,Nashik,70000.0,68,Diploma,1
59,69,58,65,65.4,Nashik,10000.0,76,Diploma,1
55,56,54,51,69.8,Mumbai,160000.0,133,Diploma,1
45,53,44,55,60.2,Mumbai,190000.0,104,Diploma,1
78,79,77,76,90.2,Nashik,120000.0,141,Diploma,1
67,84,66,86,90.0,Mumbai,100000.0,147,Science,1
65,81,64,77,69.4,Mumbai,120000.0,60,Commerce,1
69,77,68,69,70.8,Nashik,140000.0,71,Diploma,1
57,69,56,68,85.0,Nashik,140000.0,175,Diploma,1
59,41,58,42,75.6,Pune,30000.0,178,Commerce,1
74,71,73,78,81.6,Pune,80000.0,112,Diploma,1
82,62,81,62,78.0,Mumbai,160000.0,103,Commerce,1
81,80,80,76,103.4,Nashik,60000.0,200,Diploma,1
74,81,73,76,83.0,Nashik,140000.0,111,Diploma,1
58,61,57,66,68.8,Nashik,60000.0,102,Arts,1
80,79,79,79,77.0,Nashik,50000.0,68,Science,1
35,28,34,27,36.2,Nashik,200000.0,57,Diploma,1
42,62,41,60,65.2,Mumbai,180000.0,121,Diploma,1
60,51,59,56,63.2,Pune,120000.0,90,Commerce,1
87,91,86,81,85.0,Nashik,50000.0,80,Diploma,1
84,83,83,75,92.6,Pune,130000.0,138,Diploma,1
83,86,82,88,103.6,Pune,80000.0,179,Diploma,1
34,42,33,39,65.4,Pune,190000.0,179,Diploma,1
66,77,65,70,86.8,Mumbai,50000.0,156,Diploma,1
61,56,60,56,65.2,Pune,160000.0,93,Commerce,1
56,68,55,74,76.4,Mumbai,20000.0,129,Diploma,1
87,85,86,73,98.4,Pune,160000.0,161,Diploma,1
55,65,54,62,62.2,Mumbai,50000.0,75,Diploma,1
86,80,85,75,90.8,Mumbai,20000.0,128,Arts,1
52,66,51,73,82.8,Mumbai,180000.0,172,Arts,1
45,56,44,54,57.4,Pune,160000.0,88,Arts,1
72,72,71,71,78.4,Mumbai,80000.0,106,Commerce,1
57,50,56,54,70.8,Mumbai,40000.0,137,Diploma,1
68,72,67,64,79.6,Mumbai,180000.0,127,Diploma,1
88,95,87,94,88.6,Pune,70000.0,79,Diploma,1
76,64,75,66,78.2,Nashik,130000.0,110,Arts,1
46,43,45,42,53.2,Mumbai,80000.0,90,Science,1
67,86,66,83,75.8,Nashik,130000.0,77,Diploma,1
92,87,91,78,100.6,Nashik,180000.0,155,Arts,1
83,82,82,84,102.6,Nashik,180000.0,182,Diploma,1
80,75,79,77,84.6,Mumbai,80000.0,112,Diploma,1
63,66,62,67,90.8,Pune,70000.0,196,Diploma,1
64,60,63,74,64.6,Nashik,190000.0,62,Diploma,1
54,52,53,51,72.6,Nashik,200000.0,153,Commerce,1
84,80,83,80,76.8,Mumbai,40000.0,57,Diploma,1
73,68,72,66,86.2,Pune,170000.0,152,Commerce,1
80,83,79,83,94.4,Nashik,120000.0,147,Diploma,1
56,52,55,55,53.6,Pune,90000.0,50,Diploma,1
59,51,58,43,54.2,Pune,50000.0,60,Diploma,1
75,74,74,69,98.0,Pune,10000.0,198,Diploma,1
85,76,84,71,84.6,Mumbai,10000.0,107,Arts,1
89,76,88,74,95.4,Nashik,190000.0,150,Arts,1
58,70,57,68,67.4,Nashik,70000.0,84,Diploma,1
65,64,64,62,63.2,Pune,170000.0,61,Arts,1
68,60,67,53,68.0,Pune,50000.0,92,Arts,1
47,49,46,49,52.8,Mumbai,180000.0,73,Commerce,1
71,83,70,83,79.4,Pune,120000.0,90,Diploma,1
60,70,59,70,75.4,Pune,100000.0,118,Diploma,1
80,80,79,72,78.8,Nashik,10000.0,83,Diploma,1
54,52,53,52,59.2,Pune,40000.0,85,Commerce,1
62,73,61,70,91.2,Mumbai,30000.0,190,Diploma,1
64,73,63,68,87.4,Nashik,80000.0,169,Arts,1
78,77,77,77,82.2,Nashik,10000.0,102,Diploma,1
70,75,69,78,92.8,Pune,80000.0,172,Diploma,1
65,81,64,81,82.8,Pune,120000.0,123,Arts,1
64,79,63,77,74.0,Nashik,70000.0,87,Diploma,1
79,79,78,78,80.4,Mumbai,80000.0,88,Diploma,1
44,50,43,51,68.8,Nashik,10000.0,156,Arts,1
99,93,98,90,93.8,Mumbai,60000.0,89,Diploma,1
76,73,75,68,91.2,Nashik,80000.0,164,Arts,1
59,42,58,41,79.6,Nashik,200000.0,198,Science,1
63,75,62,81,89.0,Nashik,30000.0,164,Diploma,1
69,72,68,77,67.4,Mumbai,170000.0,51,Diploma,1
88,92,87,95,110.2,Mumbai,10000.0,189,Commerce,1
71,76,70,70,86.0,Mumbai,50000.0,143,Diploma,1
69,63,68,61,65.8,Mumbai,160000.0,68,Arts,1
58,49,57,42,61.4,Mumbai,100000.0,101,Arts,1
47,53,46,58,67.4,Nashik,20000.0,133,Arts,1
65,70,64,71,90.4,Pune,190000.0,182,Commerce,1
88,85,87,76,97.4,Pune,50000.0,151,Commerce,1
83,78,82,73,97.0,Pune,10000.0,169,Diploma,1
85,92,84,93,89.6,Mumbai,200000.0,94,Diploma,1
59,63,58,75,62.2,Pune,200000.0,56,Arts,1
65,86,64,80,88.6,Nashik,190000.0,148,Commerce,1
73,56,72,57,77.0,Nashik,60000.0,127,Arts,1
53,52,52,42,64.6,Mumbai,50000.0,124,Diploma,1
45,48,44,46,65.4,Mumbai,90000.0,144,Diploma,1
73,79,72,84,79.8,Nashik,20000.0,91,Diploma,1
70,78,69,78,69.0,Mumbai,40000.0,50,Diploma,1
37,46,36,46,66.0,Mumbai,20000.0,165,Arts,1
81,82,80,82,79.2,Nashik,180000.0,71,Diploma,1
97,82,96,88,100.6,Mumbai,60000.0,140,Diploma,1
67,89,66,82,77.0,Pune,20000.0,81,Diploma,1
88,75,87,76,78.0,Mumbai,10000.0,64,Diploma,1
77,76,76,77,86.8,Mumbai,160000.0,128,Arts,1
76,70,75,68,89.6,Pune,130000.0,159,Diploma,1
86,73,85,70,101.6,Mumbai,160000.0,194,Diploma,1
63,60,62,57,84.8,Mumbai,190000.0,182,Science,1
65,73,64,75,84.6,Mumbai,90000.0,146,Diploma,1
78,77,77,80,101.0,Pune,120000.0,193,Diploma,1
67,62,66,60,69.8,Mumbai,130000.0,94,Diploma,1
46,41,45,43,71.8,Pune,40000.0,184,Commerce,1
71,74,70,68,88.2,Mumbai,120000.0,158,Arts,1
40,46,39,50,61.4,Pune,130000.0,132,Diploma,1
90,87,89,75,101.4,Pune,30000.0,166,Commerce,1
81,78,80,81,84.2,Nashik,200000.0,101,Science,1
56,54,55,52,65.6,Mumbai,110000.0,111,Diploma,1
67,84,66,81,85.4,Mumbai,80000.0,129,Arts,1
80,76,79,64,81.8,Nashik,150000.0,110,Diploma,1
74,75,73,83,72.2,Pune,110000.0,56,Diploma,1
69,67,68,69,73.6,Nashik,50000.0,95,Diploma,1
99,87,98,81,87.2,Pune,170000.0,71,Diploma,1
51,52,50,44,73.4,Nashik,60000.0,170,Diploma,1
53,71,52,67,59.8,Mumbai,150000.0,56,Arts,1
49,57,48,52,71.4,Mumbai,140000.0,151,Arts,1
73,76,72,80,79.0,Nashik,160000.0,94,Arts,1
66,60,65,57,59.6,Pune,20000.0,50,Diploma,1
67,61,66,68,71.0,Pune,90000.0,93,Diploma,1
68,67,67,69,81.6,Mumbai,170000.0,137,Diploma,1
59,64,58,75,77.2,Nashik,10000.0,130,Arts,1
71,66,70,65,85.2,Pune,200000.0,154,Diploma,1
77,82,76,91,83.6,Nashik,190000.0,92,Diploma,1
83,72,82,78,88.8,Mumbai,10000.0,129,Diploma,1
63,71,62,69,76.6,Pune,20000.0,118,Diploma,1
56,65,55,63,58.0,Mumbai,40000.0,51,Diploma,1
67,79,66,84,70.8,Mumbai,50000.0,58,Arts,1
75,86,74,79,76.0,Mumbai,40000.0,66,Diploma,1
71,81,70,80,87.4,Pune,20000.0,135,Diploma,1
43,53,42,53,60.0,Mumbai,160000.0,109,Diploma,1
41,46,40,43,58.2,Nashik,170000.0,121,Commerce,1
82,90,81,94,102.0,Nashik,150000.0,163,Diploma,1
61,61,60,62,88.2,Mumbai,10000.0,197,Diploma,1
28,23,27,19,47.2,Nashik,40000.0,139,Arts,1
82,75,81,77,99.8,Pune,60000.0,184,Diploma,1
41,55,40,51,62.0,Nashik,30000.0,123,Commerce,1
71,60,70,61,71.2,Mumbai,190000.0,94,Diploma,1
47,37,46,35,70.8,Nashik,70000.0,189,Arts,1
62,56,61,53,66.6,Pune,150000.0,101,Commerce,1
90,78,89,81,100.2,Nashik,130000.0,163,Diploma,1
83,93,82,95,97.0,Pune,120000.0,132,Diploma,1
61,68,60,66,86.6,Nashik,80000.0,178,Arts,1
76,70,75,69,96.2,Mumbai,110000.0,191,Arts,1
49,51,48,43,74.8,Nashik,180000.0,183,Arts,1
24,38,23,27,57.2,Nashik,160000.0,174,Diploma,1
35,55,34,60,49.6,Pune,80000.0,64,Diploma,1
58,61,57,52,73.6,Mumbai,80000.0,140,Arts,1
61,73,60,63,70.0,Mumbai,10000.0,93,Diploma,1
69,76,68,74,92.0,Nashik,30000.0,173,Diploma,1
67,72,66,67,83.0,Pune,20000.0,143,Arts,1
79,73,78,67,92.2,Mumbai,130000.0,164,Science,1
72,80,71,75,71.6,Pune,40000.0,60,Diploma,1
62,61,61,57,85.4,Nashik,120000.0,186,Diploma,1
77,94,76,95,104.8,Mumbai,20000.0,182,Diploma,1
75,74,74,66,90.8,Mumbai,120000.0,165,Diploma,1
87,74,86,76,99.0,Pune,120000.0,172,Diploma,1
52,65,51,69,67.2,Nashik,160000.0,99,Diploma,1
66,57,65,52,78.8,Nashik,60000.0,154,Diploma,1
63,78,62,80,83.8,Pune,70000.0,136,Diploma,1
46,58,45,57,71.6,Nashik,140000.0,152,Diploma,1
59,71,58,70,61.6,Pune,140000.0,50,Arts,1
61,72,60,70,65.6,Mumbai,130000.0,65,Arts,1
63,61,62,61,70.2,Pune,110000.0,104,Diploma,1
42,66,41,69,70.2,Mumbai,90000.0,133,Arts,1
59,62,58,61,75.0,Mumbai,130000.0,135,Diploma,1
80,90,79,89,90.8,Nashik,140000.0,116,Diploma,1
58,62,57,59,68.2,Pune,150000.0,105,Diploma,1
85,84,84,78,82.2,Mumbai,180000.0,80,Diploma,1
52,58,51,58,60.8,Pune,140000.0,85,Diploma,1
27,34,26,32,43.6,Pune,170000.0,99,Arts,1
59,60,58,58,70.8,Pune,150000.0,119,Diploma,1
49,58,48,60,64.4,Nashik,200000.0,107,Arts,1
69,58,68,53,78.4,Pune,50000.0,144,Diploma,1
61,66,60,61,84.2,Mumbai,60000.0,173,Diploma,1
44,64,43,58,66.8,Pune,100000.0,125,Diploma,1
73,84,72,85,91.4,Pune,110000.0,143,Diploma,1
84,77,83,71,80.8,Nashik,150000.0,89,Diploma,1
45,73,44,70,81.6,Pune,50000.0,176,Diploma,1
74,74,73,72,69.0,Mumbai,60000.0,52,Diploma,1
82,97,81,96,103.2,Pune,170000.0,160,Arts,1
59,70,58,73,71.8,Nashik,140000.0,99,Arts,1
46,43,45,41,60.4,Mumbai,120000.0,127,Arts,1
80,90,79,82,94.8,Nashik,90000.0,143,Diploma,1
85,95,84,100,99.0,Nashik,160000.0,131,Diploma,1
71,83,70,77,74.4,Nashik,50000.0,71,Diploma,1
66,64,65,62,90.6,Mumbai,70000.0,196,Arts,1
80,86,79,83,83.0,Nashik,130000.0,87,Arts,1
87,100,86,95,113.0,Pune,110000.0,197,Science,1
79,81,78,71,91.6,Mumbai,50000.0,149,Diploma,1
38,49,37,45,48.4,Pune,180000.0,73,Diploma,1
38,43,37,43,45.0,Nashik,120000.0,64,Diploma,1
67,76,66,75,76.6,Pune,160000.0,99,Arts,1
64,73,63,70,73.0,Pune,130000.0,95,Diploma,1
57,78,56,67,66.6,Mumbai,20000.0,75,Arts,1
62,64,61,64,64.0,Nashik,130000.0,69,Arts,1
73,70,72,75,78.0,Mumbai,110000.0,100,Diploma,1
73,67,72,59,91.8,Pune,90000.0,188,Diploma,1
77,68,76,77,88.8,Nashik,20000.0,146,Arts,1
76,67,75,67,91.2,Pune,190000.0,171,Diploma,1
57,54,56,56,82.6,Mumbai,60000.0,190,Diploma,1
65,74,64,77,72.4,Nashik,110000.0,82,Arts,1
48,45,47,41,57.4,Mumbai,130000.0,106,Diploma,1
50,67,49,63,70.4,Mumbai,190000.0,123,Diploma,1
85,89,84,95,103.2,Mumbai,150000.0,163,Diploma,1
74,63,73,57,73.8,Pune,110000.0,102,Arts,1
60,59,59,54,60.2,Nashik,80000.0,69,Arts,1
59,54,58,67,67.6,Nashik,110000.0,100,Diploma,1
53,43,52,43,55.2,Mumbai,10000.0,85,Diploma,1
49,65,48,55,57.4,Mumbai,30000.0,70,Diploma,1
88,99,87,100,101.8,Pune,150000.0,135,Diploma,1
54,59,53,62,69.2,Mumbai,70000.0,118,Diploma,1
63,73,62,68,75.4,Nashik,110000.0,111,Commerce,1
65,65,64,63,64.2,Pune,80000.0,64,Arts,1
82,80,81,77,99.4,Pune,130000.0,177,Diploma,1
52,57,51,56,72.6,Nashik,50000.0,147,Arts,1
87,84,86,85,103.2,Nashik,140000.0,174,Arts,1
70,71,69,74,67.8,Pune,160000.0,55,Arts,1
84,83,83,78,98.8,Nashik,200000.0,166,Arts,1
71,66,70,60,90.8,Pune,60000.0,187,Diploma,1
63,67,62,67,88.0,Pune,90000.0,181,Diploma,1
51,72,50,79,71.0,Mumbai,60000.0,103,Commerce,1
84,73,83,69,79.0,Mumbai,150000.0,86,Commerce,1
71,74,70,68,91.0,Pune,200000.0,172,Commerce,1
74,73,73,67,77.0,Pune,120000.0,98,Diploma,1
68,59,67,62,71.4,Mumbai,40000.0,101,Diploma,1
57,56,56,54,75.4,Pune,190000.0,154,Diploma,1
82,93,81,93,92.4,Mumbai,150000.0,113,Diploma,1
57,58,56,64,80.2,Pune,30000.0,166,Diploma,1
47,58,46,67,73.6,Mumbai,190000.0,150,Arts,1
59,85,58,80,78.0,Mumbai,140000.0,108,Arts,1
41,39,40,34,47.6,Nashik,60000.0,84,Diploma,1
62,67,61,62,78.2,Mumbai,30000.0,139,Arts,1
86,83,85,86,94.4,Pune,170000.0,132,Diploma,1
69,71,68,65,66.8,Mumbai,120000.0,61,Arts,1
65,59,64,53,80.4,Mumbai,20000.0,161,Diploma,1
68,63,67,54,73.2,Mumbai,50000.0,114,Arts,1
64,66,63,59,63.2,Mumbai,120000.0,64,Diploma,1
61,72,60,70,88.4,Mumbai,160000.0,179,Arts,1
61,56,60,55,67.4,Pune,130000.0,105,Arts,1
47,59,46,50,53.0,Mumbai,180000.0,63,Diploma,1
73,66,72,66,74.0,Pune,90000.0,93,Diploma,1
50,48,49,53,79.6,Pune,200000.0,198,Diploma,1
75,68,74,64,79.6,Nashik,50000.0,117,Diploma,1
75,66,74,73,78.8,Nashik,200000.0,106,Commerce,1
70,56,69,51,59.4,Nashik,90000.0,51,Arts,1
89,88,88,82,109.2,Mumbai,60000.0,199,Diploma,1
67,81,66,79,94.4,Pune,110000.0,179,Diploma,1
78,81,77,80,88.0,Pune,50000.0,124,Diploma,1
59,73,58,69,85.0,Pune,70000.0,166,Commerce,1
73,83,72,76,75.2,Nashik,150000.0,72,Diploma,1
79,82,78,73,85.2,Pune,30000.0,114,Diploma,1
67,74,66,77,67.2,Pune,70000.0,52,Arts,1
69,66,68,60,68.2,Nashik,200000.0,78,Diploma,1
86,81,85,80,91.6,Mumbai,170000.0,126,Arts,1
47,46,46,42,73.2,Nashik,100000.0,185,Diploma,1
81,73,80,72,98.2,Pune,180000.0,185,Diploma,1
64,85,63,85,77.0,Pune,50000.0,88,Diploma,1
100,92,99,97,110.4,Pune,190000.0,164,Commerce,1
