Maths,General Science,History,Geography,Language,Mean,Gender,Major
52,76,78,59,70,65.7,Female,Arts
70,64,87,79,72,73.13333333333334,Male,Arts
77,89,88,64,98,80.23333333333333,Male,Science
62,55,72,53,49,57.93333333333334,Female,Science
54,53,68,53,47,56.36666666666667,Female,Diploma
51,58,73,72,54,62.56666666666666,Male,Commerce
99,100,59,34,100,75.86666666666666,Male,Arts
84,77,75,32,74,66.16666666666667,Male,Diploma
75,85,32,60,82,66.16666666666667,Male,Arts
78,82,67,47,79,67.7,Male,Commerce
51,63,85,53,61,62.86666666666667,Male,Arts
55,69,68,98,65,72.53333333333333,Female,Science
79,92,59,90,89,79.93333333333334,Male,Commerce
91,89,73,38,92,72.73333333333333,Male,Diploma
88,93,74,95,93,87.8,Female,Diploma
63,57,40,97,56,64.16666666666667,Female,Arts
83,80,86,77,73,78.16666666666667,Male,Arts
87,95,60,61,86,76.86666666666666,Female,Science
72,68,67,41,67,60.333333333333336,Female,Science
65,77,36,30,74,53.833333333333336,Male,Commerce
82,82,37,93,74,73.13333333333334,Female,Science
51,49,94,71,51,64.2,Male,Commerce
89,84,89,76,82,82.10000000000001,Male,Science
53,37,54,64,40,52.26666666666667,Female,Commerce
87,74,98,64,70,77.7,Male,Arts
75,81,72,74,84,78.13333333333334,Male,Science
74,79,100,49,75,74.39999999999999,Female,Diploma
58,55,76,42,48,56.73333333333333,Male,Science
51,54,50,75,41,56.26666666666667,Female,Diploma
70,55,43,95,56,64.86666666666666,Female,Arts
59,66,93,70,67,70.89999999999999,Female,Arts
71,61,84,31,69,64.2,Female,Diploma
76,72,51,76,71,69.2,Female,Science
59,62,90,84,64,72.43333333333334,Female,Commerce
42,55,32,30,54,44.53333333333333,Female,Commerce
57,43,34,98,47,56.53333333333333,Male,Diploma
88,73,48,79,78,72.89999999999999,Female,Diploma
22,39,92,39,33,48.73333333333333,Male,Commerce
88,84,75,40,75,70.43333333333334,Female,Science
73,68,64,66,66,66.8,Male,Diploma
68,75,32,30,81,54.53333333333333,Female,Arts
100,100,79,89,93,89.06666666666666,Male,Commerce
62,67,45,49,69,58.9,Male,Science
77,67,61,33,68,59.5,Female,Science
59,70,66,100,66,72.5,Female,Commerce
54,49,48,62,47,53.63333333333333,Female,Diploma
62,67,57,65,61,64.5,Female,Commerce
70,89,82,87,88,79.96666666666667,Female,Arts
66,74,91,46,78,72.83333333333333,Male,Commerce
60,60,34,36,60,52.73333333333333,Female,Commerce
61,86,67,64,87,72.16666666666667,Female,Diploma
66,62,55,58,64,62.43333333333334,Male,Commerce
82,78,60,56,74,70.10000000000001,Female,Commerce
75,88,46,72,85,71.89999999999999,Female,Arts
49,53,50,65,52,56.3,Male,Science
52,53,94,49,49,63.76666666666667,Female,Commerce
81,92,42,86,91,74.56666666666666,Male,Commerce
96,100,87,86,100,90.73333333333332,Female,Commerce
53,51,51,92,51,61.73333333333333,Female,Commerce
58,76,78,99,78,76.13333333333334,Male,Arts
68,83,33,57,78,62.66666666666666,Female,Diploma
67,75,95,39,70,68.60000000000001,Male,Commerce
72,73,41,98,74,69.76666666666667,Male,Diploma
94,88,79,65,78,77.83333333333333,Male,Commerce
79,86,61,48,81,70.36666666666666,Female,Diploma
63,67,93,86,70,77.33333333333333,Male,Diploma
43,51,51,34,54,48.53333333333333,Female,Commerce
81,91,43,39,87,64.83333333333333,Male,Commerce
46,54,50,70,58,56.0,Female,Arts
71,77,59,87,77,71.83333333333333,Female,Arts
52,70,69,60,62,64.0,Female,Arts
97,100,74,36,100,78.3,Female,Science
62,68,61,99,75,73.26666666666667,Female,Commerce
46,64,72,89,66,67.03333333333333,Male,Diploma
50,50,72,100,47,65.86666666666666,Female,Diploma
65,69,73,70,70,69.16666666666667,Male,Commerce
45,52,47,44,49,49.7,Female,Science
65,67,85,55,65,69.53333333333333,Male,Commerce
80,76,43,99,65,70.60000000000001,Female,Science
62,66,79,50,68,65.60000000000001,Female,Science
48,52,78,76,45,60.3,Female,Arts
77,88,67,63,87,74.56666666666666,Male,Diploma
66,65,80,41,69,62.56666666666666,Male,Diploma
76,83,59,57,79,69.13333333333334,Female,Commerce
62,64,43,56,66,58.6,Male,Arts
77,62,60,65,62,63.4,Male,Commerce
69,84,37,97,85,74.36666666666666,Male,Commerce
61,55,71,51,52,58.46666666666667,Male,Science
59,69,66,49,65,60.4,Female,Science
55,56,59,98,51,62.333333333333336,Female,Diploma
45,53,40,42,55,48.6,Male,Science
78,79,35,68,76,67.60000000000001,Male,Diploma
67,84,100,86,86,84.0,Female,Commerce
65,81,92,72,77,78.39999999999999,Male,Arts
69,77,76,59,69,72.10000000000001,Female,Arts
57,69,66,71,68,66.33333333333333,Female,Science
59,41,86,91,42,65.86666666666666,Male,Science
74,71,83,50,78,72.3,Male,Arts
82,62,94,46,62,68.39999999999999,Female,Arts
81,80,36,30,76,59.63333333333333,Female,Commerce
74,81,55,51,76,64.56666666666666,Male,Diploma
58,61,49,73,66,63.16666666666666,Female,Diploma
80,79,53,43,79,67.13333333333334,Female,Diploma
35,28,80,81,27,54.2,Male,Diploma
42,62,51,42,60,53.96666666666667,Female,Commerce
60,51,45,81,56,60.23333333333333,Female,Commerce
87,91,81,45,81,75.33333333333333,Female,Commerce
84,83,32,41,75,59.56666666666666,Male,Arts
83,86,58,78,88,76.06666666666666,Female,Commerce
34,42,76,61,39,52.6,Male,Diploma
66,77,43,94,70,68.03333333333333,Male,Science
61,56,62,49,56,58.5,Male,Science
56,68,30,41,74,53.333333333333336,Female,Diploma
87,85,59,81,73,76.23333333333333,Male,Science
55,65,91,69,62,68.86666666666666,Female,Science
86,80,34,56,75,65.63333333333334,Male,Arts
52,66,94,71,73,70.23333333333333,Female,Arts
45,56,31,37,54,45.3,Female,Science
72,72,33,68,71,64.23333333333333,Male,Diploma
57,50,84,78,54,63.46666666666667,Male,Diploma
68,72,50,74,64,64.89999999999999,Male,Arts
88,95,91,62,94,83.36666666666666,Female,Arts
76,64,34,95,66,66.36666666666666,Female,Arts
46,43,53,85,42,55.66666666666666,Female,Arts
67,86,44,98,83,73.89999999999999,Female,Diploma
92,87,56,79,78,77.76666666666667,Male,Arts
83,82,81,45,84,74.36666666666666,Female,Science
80,75,84,61,77,73.89999999999999,Male,Commerce
63,66,64,89,67,70.83333333333333,Female,Diploma
64,60,60,94,74,70.7,Female,Arts
54,52,77,60,51,57.9,Female,Diploma
84,80,87,69,80,77.13333333333334,Female,Commerce
73,68,46,42,66,59.5,Male,Commerce
80,83,49,44,83,65.73333333333333,Female,Commerce
56,52,74,57,55,59.93333333333334,Female,Science
59,51,37,31,43,43.8,Male,Commerce
75,74,99,100,69,83.53333333333333,Female,Commerce
85,76,81,99,71,80.33333333333333,Male,Science
89,76,50,56,74,69.5,Male,Arts
58,70,46,41,68,58.333333333333336,Male,Diploma
65,64,48,92,62,66.7,Male,Science
68,60,94,41,53,65.16666666666667,Female,Diploma
47,49,71,75,49,59.73333333333333,Female,Science
71,83,78,70,83,76.66666666666667,Male,Diploma
60,70,70,60,70,66.2,Male,Science
80,80,37,62,72,64.39999999999999,Male,Commerce
54,52,56,75,52,60.06666666666666,Female,Diploma
62,73,46,84,70,66.43333333333334,Female,Science
64,73,48,79,68,65.89999999999999,Female,Science
78,77,36,57,77,63.4,Female,Science
70,75,43,55,78,62.03333333333333,Male,Science
65,81,60,34,81,64.46666666666667,Male,Science
64,79,95,61,77,74.83333333333333,Male,Commerce
79,79,88,65,78,76.39999999999999,Female,Science
44,50,34,48,51,46.23333333333333,Female,Arts
99,93,84,39,90,78.06666666666666,Female,Commerce
76,73,73,34,68,63.46666666666667,Female,Diploma
59,42,44,37,41,46.93333333333334,Female,Arts
63,75,83,98,81,77.46666666666667,Male,Diploma
69,72,47,84,77,68.56666666666666,Female,Commerce
88,92,90,74,95,86.16666666666667,Male,Science
71,76,99,52,70,74.66666666666667,Male,Science
69,63,48,93,61,65.93333333333334,Female,Commerce
58,49,100,83,42,68.53333333333333,Female,Arts
47,53,59,36,58,53.13333333333333,Male,Arts
65,70,92,49,71,68.23333333333333,Male,Diploma
88,85,92,57,76,79.2,Female,Diploma
83,78,76,44,73,68.7,Male,Diploma
85,92,93,69,93,84.8,Male,Commerce
59,63,42,38,75,55.63333333333333,Female,Diploma
65,86,35,92,80,70.93333333333334,Female,Science
73,56,95,32,57,62.7,Female,Arts
53,52,94,79,42,66.7,Male,Commerce
45,48,71,62,46,55.16666666666666,Male,Science
73,79,44,70,84,67.7,Male,Commerce
70,78,91,85,78,80.43333333333334,Male,Science
37,46,47,83,46,52.93333333333334,Female,Commerce
81,82,46,77,82,72.0,Male,Diploma
97,82,87,71,88,82.13333333333334,Female,Arts
67,89,73,85,82,77.56666666666666,Male,Science
88,75,75,53,76,71.36666666666666,Male,Arts
77,76,74,30,77,64.0,Female,Commerce
76,70,68,60,68,70.39999999999999,Female,Diploma
86,73,30,32,70,56.26666666666667,Male,Arts
63,60,100,84,57,73.63333333333334,Female,Commerce
65,73,33,81,75,66.53333333333333,Male,Arts
78,77,59,50,80,68.33333333333333,Female,Arts
67,62,56,100,60,69.46666666666667,Male,Diploma
46,41,36,50,43,45.9,Female,Science
71,74,62,78,68,71.26666666666667,Male,Science
40,46,51,84,50,54.2,Male,Science
90,87,77,75,75,78.2,Female,Diploma
81,78,35,38,81,63.5,Male,Commerce
56,54,60,77,52,62.46666666666667,Female,Arts
67,84,85,53,81,72.0,Male,Arts
80,76,76,99,64,77.83333333333333,Female,Arts
74,75,45,56,83,65.56666666666666,Female,Diploma
69,67,99,78,69,77.10000000000001,Male,Diploma
99,87,66,73,81,77.89999999999999,Female,Commerce
51,52,97,33,44,57.73333333333333,Female,Diploma
53,71,85,67,67,67.5,Female,Diploma
49,57,54,50,52,53.53333333333333,Female,Diploma
73,76,84,35,80,68.03333333333333,Male,Arts
66,60,88,98,57,75.10000000000001,Female,Commerce
67,61,31,90,68,65.03333333333333,Male,Diploma
68,67,34,87,69,66.06666666666666,Male,Science
59,64,36,93,75,66.73333333333333,Male,Science
71,66,84,92,65,78.36666666666666,Male,Commerce
77,82,51,93,91,77.93333333333334,Female,Arts
83,72,64,39,78,65.5,Female,Diploma
63,71,99,39,69,69.83333333333333,Female,Diploma
56,65,31,75,63,58.0,Male,Arts
67,79,51,89,84,71.10000000000001,Male,Diploma
75,86,61,48,79,68.96666666666667,Male,Science
71,81,75,65,80,71.66666666666667,Male,Arts
43,53,91,38,53,56.8,Male,Arts
41,46,71,51,43,51.26666666666667,Female,Science
82,90,59,58,94,73.60000000000001,Female,Science
61,61,78,58,62,64.53333333333333,Female,Arts
28,23,68,68,19,46.3,Female,Diploma
82,75,74,41,77,68.96666666666667,Female,Arts
41,55,88,74,51,64.76666666666667,Female,Commerce
71,60,36,35,61,53.43333333333334,Female,Diploma
47,37,84,95,35,59.03333333333333,Female,Commerce
62,56,48,94,53,63.333333333333336,Male,Commerce
90,78,52,46,81,65.06666666666666,Female,Commerce
83,93,75,99,95,88.39999999999999,Female,Science
61,68,100,97,66,78.06666666666666,Female,Science
76,70,54,61,69,66.10000000000001,Male,Arts
49,51,36,99,43,56.13333333333333,Male,Science
24,38,43,55,27,40.23333333333333,Female,Science
35,55,74,65,60,59.03333333333333,Male,Commerce
58,61,91,49,52,62.76666666666667,Male,Diploma
61,73,42,88,63,64.39999999999999,Male,Diploma
69,76,98,93,74,82.5,Male,Science
67,72,75,61,67,69.10000000000001,Female,Science
79,73,76,95,67,78.46666666666667,Female,Commerce
72,80,42,100,75,73.46666666666667,Female,Science
62,61,52,40,57,53.5,Female,Arts
77,94,51,89,95,78.16666666666667,Male,Science
75,74,75,74,66,71.93333333333334,Male,Commerce
87,74,95,84,76,83.26666666666667,Female,Commerce
52,65,32,44,69,55.4,Male,Commerce
66,57,94,50,52,63.53333333333333,Female,Diploma
63,78,56,68,80,69.36666666666666,Female,Diploma
46,58,32,93,57,58.36666666666667,Female,Diploma
59,71,92,65,70,72.8,Female,Arts
61,72,80,74,70,71.36666666666666,Male,Science
63,61,61,100,61,71.0,Female,Arts
42,66,44,65,69,56.03333333333333,Male,Science
59,62,31,67,61,57.2,Female,Science
80,90,74,86,89,81.06666666666666,Male,Arts
58,62,42,37,59,53.6,Female,Science
85,84,89,91,78,85.03333333333333,Male,Science
52,58,90,47,58,61.9,Female,Diploma
27,34,67,81,32,52.2,Male,Science
59,60,38,72,58,59.63333333333333,Male,Diploma
49,58,40,99,60,64.16666666666667,Female,Science
69,58,47,74,53,60.96666666666667,Male,Arts
61,66,96,50,61,69.13333333333334,Male,Science
44,64,83,30,58,56.86666666666667,Female,Arts
73,84,54,91,85,75.83333333333333,Male,Commerce
84,77,66,83,71,73.89999999999999,Female,Diploma
45,73,37,53,70,54.1,Female,Arts
74,74,79,51,72,69.73333333333333,Male,Arts
82,97,73,41,96,73.60000000000001,Female,Arts
59,70,52,54,73,63.1,Male,Arts
46,43,71,60,41,55.26666666666667,Male,Science
80,90,98,39,82,74.76666666666667,Male,Commerce
85,95,80,85,100,87.60000000000001,Male,Commerce
71,83,98,75,77,79.10000000000001,Female,Commerce
66,64,51,33,62,54.4,Male,Arts
80,86,72,34,83,69.8,Female,Science
87,100,46,36,95,68.93333333333334,Male,Diploma
79,81,95,94,71,83.46666666666667,Female,Science
38,49,80,73,45,58.5,Female,Diploma
38,43,45,85,43,53.8,Male,Science
67,76,47,37,75,60.333333333333336,Female,Commerce
64,73,96,69,70,71.83333333333333,Female,Commerce
57,78,44,69,67,64.93333333333334,Female,Diploma
62,64,94,96,64,75.53333333333333,Female,Arts
73,70,78,32,75,62.56666666666666,Male,Commerce
73,67,68,49,59,64.63333333333334,Female,Science
77,68,72,81,77,76.16666666666667,Male,Diploma
76,67,64,32,67,61.46666666666667,Female,Science
57,54,92,51,56,62.9,Female,Commerce
65,74,99,53,77,73.46666666666667,Female,Arts
48,45,95,48,41,58.36666666666667,Female,Arts
50,67,40,31,63,48.3,Female,Diploma
85,89,46,86,95,76.60000000000001,Female,Science
74,63,91,88,57,73.76666666666667,Male,Arts
60,59,93,66,54,66.83333333333333,Female,Commerce
59,54,89,55,67,65.46666666666667,Female,Arts
53,43,84,50,43,54.66666666666666,Male,Arts
49,65,57,42,55,54.3,Female,Commerce
88,99,79,42,100,80.26666666666667,Female,Commerce
54,59,43,75,62,59.3,Female,Diploma
63,73,83,89,68,75.26666666666667,Male,Diploma
65,65,34,72,63,58.833333333333336,Male,Diploma
82,80,37,85,77,73.06666666666666,Male,Commerce
52,57,97,79,56,66.46666666666667,Female,Arts
87,84,32,89,85,72.60000000000001,Female,Arts
70,71,43,76,74,65.36666666666666,Male,Diploma
84,83,61,48,78,69.3,Male,Diploma
71,66,61,62,60,63.4,Male,Diploma
63,67,49,91,67,69.06666666666666,Male,Arts
51,72,55,79,79,66.60000000000001,Female,Diploma
84,73,55,94,69,76.43333333333334,Male,Science
71,74,44,80,68,68.03333333333333,Male,Diploma
74,73,79,91,67,76.43333333333334,Female,Commerce
68,59,50,70,62,61.86666666666667,Female,Arts
57,56,82,92,54,70.56666666666666,Male,Diploma
82,93,40,58,93,72.0,Female,Arts
57,58,98,74,64,69.73333333333333,Female,Diploma
47,58,41,78,67,60.16666666666666,Female,Commerce
59,85,94,52,80,73.13333333333334,Male,Diploma
41,39,42,76,34,48.53333333333333,Female,Science
62,67,66,83,62,67.76666666666667,Female,Commerce
86,83,70,57,86,72.13333333333334,Female,Science
69,71,94,45,65,70.3,Female,Science
65,59,87,79,53,68.10000000000001,Male,Science
68,63,48,83,54,62.56666666666666,Female,Science
64,66,88,65,59,69.23333333333333,Male,Science
61,72,40,94,70,66.76666666666667,Male,Science
61,56,56,54,55,55.56666666666666,Male,Diploma
47,59,36,79,50,54.1,Female,Science
73,66,76,61,66,67.56666666666666,Female,Science
50,48,82,77,53,63.833333333333336,Male,Diploma
75,68,36,98,64,68.83333333333333,Female,Commerce
75,66,99,55,73,72.10000000000001,Male,Commerce
70,56,58,58,51,59.13333333333333,Male,Science
89,88,97,53,82,80.0,Male,Science
67,81,77,72,79,74.56666666666666,Female,Arts
78,81,83,87,80,80.3,Male,Commerce
59,73,57,35,69,58.13333333333333,Male,Commerce
73,83,52,99,76,76.56666666666666,Female,Science
79,82,53,78,73,71.60000000000001,Male,Science
67,74,98,71,77,77.26666666666667,Male,Commerce
69,66,69,97,60,73.66666666666667,Female,Science
86,81,45,34,80,63.03333333333333,Female,Science
47,46,58,51,42,49.333333333333336,Female,Diploma
81,73,97,65,72,76.0,Male,Arts
64,85,58,92,85,75.89999999999999,Female,Diploma
100,92,42,76,97,77.73333333333333,Male,Arts
65,77,85,31,74,65.2,Male,Arts
65,58,38,62,49,56.4,Male,Arts
53,61,95,75,62,70.06666666666666,Female,Commerce
37,56,61,80,47,60.0,Female,Commerce
79,89,33,94,89,75.0,Male,Commerce
53,54,91,31,48,58.333333333333336,Male,Arts
100,100,60,79,100,87.33333333333333,Female,Diploma
72,65,66,32,68,61.13333333333333,Female,Arts
53,58,57,84,55,62.03333333333333,Female,Commerce
54,54,83,68,45,62.63333333333333,Male,Science
71,70,48,40,76,60.36666666666667,Male,Science
77,90,30,67,91,70.2,Male,Diploma
75,58,82,58,62,65.5,Male,Science
84,87,74,55,91,75.33333333333333,Female,Arts
26,31,71,69,38,49.53333333333333,Male,Science
72,67,34,63,65,61.06666666666666,Male,Arts
77,88,83,88,85,83.86666666666666,Female,Commerce
91,74,34,42,76,60.76666666666667,Male,Arts
83,85,81,83,90,82.0,Female,Arts
63,69,51,52,74,63.0,Female,Commerce
68,86,82,45,84,73.60000000000001,Female,Science
59,67,62,100,61,70.13333333333334,Male,Commerce
90,90,34,77,91,73.13333333333334,Male,Diploma
71,76,59,85,83,73.73333333333333,Male,Arts
76,62,76,85,66,74.33333333333333,Male,Diploma
80,68,71,64,72,67.10000000000001,Female,Science
55,64,86,36,70,60.2,Male,Commerce
76,71,34,60,67,63.0,Female,Science
73,71,51,54,68,64.36666666666666,Female,Commerce
52,59,70,85,56,66.03333333333333,Male,Arts
68,68,73,71,61,66.56666666666666,Male,Arts
59,52,92,38,46,56.66666666666666,Male,Arts
49,52,60,44,54,52.13333333333333,Female,Arts
70,74,52,89,71,72.43333333333334,Female,Arts
61,47,39,48,56,52.93333333333334,Female,Science
60,75,69,69,74,70.60000000000001,Male,Science
64,53,56,36,57,52.1,Female,Diploma
79,82,98,66,82,79.06666666666666,Female,Commerce
65,85,54,49,76,65.39999999999999,Female,Science
64,64,51,83,70,65.13333333333334,Female,Science
83,83,54,47,90,69.26666666666667,Female,Commerce
81,88,62,74,90,76.63333333333334,Male,Commerce
54,64,93,58,68,70.60000000000001,Male,Science
68,64,64,43,66,60.26666666666667,Female,Science
54,48,95,32,52,58.9,Male,Diploma
59,78,71,50,76,67.33333333333333,Female,Arts
66,69,68,85,68,68.56666666666666,Male,Arts
76,71,67,79,72,73.26666666666667,Male,Commerce
74,79,96,81,82,80.06666666666666,Female,Arts
94,87,98,45,92,80.2,Female,Arts
63,61,60,41,54,57.26666666666667,Female,Science
95,89,42,31,92,66.96666666666667,Male,Science
40,59,61,99,54,65.13333333333334,Female,Science
82,82,34,81,80,70.89999999999999,Male,Arts
68,70,70,57,66,68.23333333333333,Male,Commerce
55,59,87,96,54,69.73333333333333,Male,Arts
79,78,47,72,77,68.23333333333333,Male,Commerce
86,92,42,82,87,75.13333333333334,Male,Commerce
76,71,99,96,73,81.53333333333333,Male,Diploma
64,50,56,84,43,61.6,Female,Diploma
62,49,51,36,52,50.1,Male,Science
54,61,34,74,62,57.23333333333333,Female,Science
77,97,69,35,94,71.46666666666667,Male,Commerce
76,87,37,39,85,60.93333333333334,Male,Diploma
74,89,58,73,84,75.13333333333334,Male,Science
66,74,33,80,73,61.66666666666666,Female,Science
66,78,91,96,78,81.7,Male,Diploma
67,78,91,74,79,74.3,Female,Commerce
71,49,99,53,52,66.03333333333333,Male,Science
91,86,78,64,84,78.0,Male,Commerce
69,58,93,43,57,64.86666666666666,Female,Arts
54,59,90,83,50,65.73333333333333,Male,Commerce
53,52,87,66,49,64.39999999999999,Female,Science
68,60,38,58,59,59.333333333333336,Male,Arts
56,61,99,42,60,62.7,Female,Arts
36,53,94,32,43,52.833333333333336,Male,Diploma
29,41,48,68,47,49.66666666666666,Female,Science
62,74,38,42,70,55.76666666666667,Female,Commerce
68,67,46,53,73,60.9,Male,Diploma
47,54,93,78,53,65.43333333333334,Female,Science
62,61,66,40,58,58.76666666666667,Female,Diploma
79,88,86,67,94,81.93333333333334,Female,Diploma
73,69,48,35,68,58.73333333333333,Male,Commerce
66,83,64,81,83,74.26666666666667,Male,Commerce
51,60,63,73,58,61.86666666666667,Male,Science
51,66,55,95,62,65.86666666666666,Female,Diploma
85,66,95,70,71,77.63333333333334,Female,Commerce
97,92,99,95,86,91.8,Female,Commerce
75,69,58,40,68,64.16666666666667,Male,Diploma
79,82,91,98,80,84.93333333333334,Male,Commerce
81,77,57,45,79,66.8,Male,Commerce
82,95,96,67,89,84.8,Female,Diploma
64,63,91,56,66,69.3,Male,Commerce
78,83,70,76,80,74.16666666666667,Female,Commerce
92,100,34,82,97,79.60000000000001,Female,Science
72,67,83,31,64,64.76666666666667,Female,Commerce
62,67,34,68,64,61.23333333333333,Male,Commerce
79,72,53,80,69,68.39999999999999,Female,Diploma
79,76,47,60,65,63.66666666666666,Male,Arts
87,90,50,75,88,76.5,Male,Arts
40,48,80,71,50,60.5,Male,Science
77,62,36,83,64,63.36666666666667,Male,Science
53,45,48,80,40,56.833333333333336,Female,Arts
32,39,58,48,33,43.53333333333333,Male,Science
55,72,78,78,79,70.83333333333333,Female,Science
61,67,74,93,66,71.8,Female,Science
53,70,79,32,70,60.53333333333333,Male,Commerce
73,66,97,65,62,74.10000000000001,Female,Commerce
74,75,51,81,79,69.89999999999999,Male,Diploma
63,74,42,49,74,59.833333333333336,Male,Science
96,90,32,96,92,79.06666666666666,Male,Arts
63,80,85,74,80,73.60000000000001,Male,Arts
48,51,68,71,46,58.96666666666667,Female,Arts
48,43,84,82,45,61.06666666666666,Female,Arts
92,100,75,85,100,87.33333333333333,Male,Arts
61,71,97,86,78,78.53333333333333,Female,Diploma
63,48,30,92,47,57.93333333333334,Male,Arts
68,68,62,75,67,66.0,Female,Science
71,75,69,33,70,61.06666666666666,Female,Arts
91,96,73,43,92,73.56666666666666,Male,Arts
53,62,56,92,56,64.96666666666667,Male,Commerce
